,New_Date,VisitingTeam,VisitorStartingPitcherName,HomeTeam,HomeStartingPitcherName,VisitorRunsScored,HomeRunsScore,VisitorAB,VisitorH,Visitor_BA,VisitorHBP,VisitorBB,VisitorIBB,VisitorLOB,HomeAB,HomeH,Home_BA,HomeHBP,HomeBB,HomeIBB,HomeLOB,Home_team_won?,prior_year,year_x,playerName_x,teamAbbrev_x,winningPercentage_x,runsScoredPer9_x,hitsPer9_x,strikeoutsPer9_x,baseOnBallsPer9_x,homeRunsPer9_x,era_x,whip_x,ops_x,gidp_x,avg_x,year_y,playerName_y,teamAbbrev_y,winningPercentage_y,runsScoredPer9_y,hitsPer9_y,strikeoutsPer9_y,baseOnBallsPer9_y,homeRunsPer9_y,era_y,whip_y,ops_y,gidp_y,avg_y,year,teamAbbrev,hits,atBats,team_BA,totalBases,total_bases_avg,leftOnBase,LOB_avg,runs,runs_avg,strikeOuts,atBats,K_avg,baseOnBalls,BB_avg,rbi,RBI_avg,year_home,teamAbbrev_home,hits_home,atBats_home,team_BA_home,totalBases_home,total_bases_avg_home,leftOnBase_home,LOB_avg_home,runs_home,runs_avg_home,strikeOuts_home,atBats_home,K_avg_home,baseOnBalls_home,BB_avg_home,rbi_home,RBI_avg_home,current_year
20,2023-03-31,CLE,Hunter Gaddis,SEA,Robbie Ray,9,4,39,13,0.333,0,8,0,12,34,7,0.206,1,3,0,7,False,2022,2022.0,Hunter Gaddis,CLE,.000,18.41,18.41,6.14,3.68,8.59,18.41,2.45,1.504,0.0,0.405,2022.0,Robbie Ray,SEA,.500,3.81,7.76,10.10,2.95,1.52,3.71,1.19,0.722,14.0,0.231,2022.0,CLE,1321.0,5114.0,0.258,1998.0,0.352,2240.0,0.395,654.0,0.115,980.0,5114.0,0.192,415.0,0.073,628.0,0.111,2022.0,SEA,1319.0,5747.0,0.23,2226.0,0.34,2430.0,0.371,741.0,0.113,1478.0,5747.0,0.257,655.0,0.1,699.0,0.107,2023
21,2023-04-01,MIL,Brandon Woodruff,CHC,Justin Steele,3,1,32,6,0.188,0,4,0,6,31,5,0.161,0,1,0,4,False,2022,2022.0,Brandon Woodruff,MIL,.765,3.29,7.16,11.15,2.47,1.06,3.05,1.07,0.64,7.0,0.215,2022.0,Justin Steele,CHC,.364,4.01,8.39,9.53,3.78,0.61,3.18,1.35,0.66,10.0,0.244,2022.0,MIL,1275.0,5428.0,0.235,2217.0,0.362,2316.0,0.378,724.0,0.118,1465.0,5428.0,0.27,577.0,0.094,701.0,0.114,2022.0,CHC,1313.0,5523.0,0.238,2135.0,0.346,2423.0,0.392,662.0,0.107,1512.0,5523.0,0.274,510.0,0.083,631.0,0.102,2023
22,2023-04-01,PIT,Rich Hill,CIN,Nick Lodolo,2,6,34,7,0.206,0,2,0,7,30,6,0.2,0,3,0,3,True,2022,2022.0,Rich Hill,BOS,.533,4.85,9.05,7.89,2.68,1.09,4.27,1.30,0.748,9.0,0.258,2022.0,Nick Lodolo,CIN,.364,3.83,7.84,11.41,3.40,1.13,3.66,1.25,0.728,8.0,0.235,2022.0,PIT,1149.0,5122.0,0.224,1855.0,0.328,2073.0,0.366,567.0,0.1,1445.0,5122.0,0.282,433.0,0.077,528.0,0.093,2022.0,CIN,1047.0,4557.0,0.23,1618.0,0.32,1897.0,0.375,504.0,0.1,1212.0,4557.0,0.266,371.0,0.073,487.0,0.096,2023
23,2023-04-01,ARI,Madison Bumgarner,LAD,Clayton Kershaw,1,10,32,5,0.156,0,0,0,4,30,8,0.267,1,5,0,3,True,2022,2022.0,Madison Bumgarner,AZ,.318,5.50,10.15,6.35,2.78,1.42,4.88,1.44,0.827,14.0,0.281,2022.0,Clayton Kershaw,LAD,.800,2.56,6.84,9.76,1.64,0.71,2.28,0.94,0.556,8.0,0.206,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2022.0,LAD,1439.0,5695.0,0.253,2488.0,0.386,2542.0,0.394,866.0,0.134,1459.0,5695.0,0.256,638.0,0.099,832.0,0.129,2023
24,2023-04-01,NYM,Tylor Megill,MIA,Edward Cabrera,6,2,38,12,0.316,0,6,0,12,36,10,0.278,0,3,0,10,False,2022,2022.0,Tylor Megill,NYM,.667,5.13,8.75,9.70,2.47,1.33,5.13,1.25,0.721,4.0,0.253,2022.0,Edward Cabrera,MIA,.600,3.01,5.53,9.42,4.14,1.26,3.01,1.07,0.621,6.0,0.177,2022.0,NYM,1540.0,6049.0,0.255,2499.0,0.366,2715.0,0.398,845.0,0.124,1375.0,6049.0,0.227,586.0,0.086,827.0,0.121,2022.0,MIA,1145.0,4979.0,0.23,1803.0,0.328,2044.0,0.372,541.0,0.099,1319.0,4979.0,0.265,408.0,0.074,508.0,0.093,2023
25,2023-04-01,COL,Jose Urena,SD,Michael Wacha,4,8,31,6,0.194,1,3,0,4,32,10,0.312,0,8,0,9,True,2022,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,2022.0,Michael Wacha,BOS,.846,3.46,7.85,7.35,2.19,1.27,3.32,1.12,0.693,12.0,0.233,2022.0,COL,1408.0,5540.0,0.254,2203.0,0.361,2405.0,0.394,698.0,0.114,1330.0,5540.0,0.24,453.0,0.074,669.0,0.11,2022.0,SD,1409.0,5661.0,0.249,2308.0,0.357,2411.0,0.373,789.0,0.122,1304.0,5661.0,0.23,662.0,0.102,737.0,0.114,2023
26,2023-04-01,TOR,Kevin Gausman,STL,Jack Flaherty,1,4,29,3,0.103,1,10,0,12,33,10,0.303,0,2,0,7,True,2022,2022.0,Kevin Gausman,TOR,.545,3.71,9.69,10.56,1.44,0.77,3.35,1.24,0.7,9.0,0.272,2022.0,Jack Flaherty,STL,.667,4.50,9.00,8.25,5.50,1.00,4.25,1.61,0.804,6.0,0.259,2022.0,TOR,1599.0,6138.0,0.261,2586.0,0.381,2597.0,0.383,842.0,0.124,1330.0,6138.0,0.217,541.0,0.08,816.0,0.12,2022.0,STL,1293.0,5085.0,0.254,2174.0,0.38,2120.0,0.37,717.0,0.125,1132.0,5085.0,0.223,517.0,0.09,708.0,0.124,2023
27,2023-04-01,ATL,Spencer Strider,WAS,Josiah Gray,7,1,35,11,0.314,0,2,0,3,30,5,0.167,0,3,0,5,False,2022,2022.0,Spencer Strider,ATL,.688,2.87,5.88,13.81,3.08,0.48,2.67,0.99,0.518,3.0,0.18,2022.0,Josiah Gray,WSH,.412,5.09,8.23,9.32,4.00,2.30,5.02,1.36,0.813,6.0,0.239,2022.0,ATL,1472.0,5924.0,0.248,2547.0,0.388,2359.0,0.36,818.0,0.125,1628.0,5924.0,0.275,517.0,0.079,787.0,0.12,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2023
28,2023-04-01,BAL,Dean Kremer,BOS,Chris Sale,8,9,38,13,0.342,1,4,0,8,37,11,0.297,2,2,0,6,True,2022,2022.0,Dean Kremer,BAL,.533,3.45,8.83,6.25,2.44,0.79,3.23,1.25,0.708,14.0,0.262,2022.0,Chris Sale,BOS,.000,4.76,7.94,7.94,1.59,0.00,3.18,1.06,0.584,0.0,0.217,2022.0,BAL,1309.0,5670.0,0.231,2181.0,0.346,2391.0,0.379,694.0,0.11,1493.0,5670.0,0.263,484.0,0.077,662.0,0.105,2022.0,BOS,1487.0,5744.0,0.259,2354.0,0.368,2556.0,0.4,781.0,0.122,1460.0,5744.0,0.254,516.0,0.081,721.0,0.113,2023
29,2023-04-01,CWS,Lucas Giolito,HOU,Jose Urquidy,4,6,37,10,0.27,0,4,0,10,36,11,0.306,2,3,0,11,True,2022,2022.0,Lucas Giolito,CWS,.550,5.12,9.52,9.85,3.40,1.34,4.90,1.44,0.793,18.0,0.272,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,2022.0,CWS,1485.0,5814.0,0.255,2261.0,0.356,2436.0,0.384,715.0,0.113,1298.0,5814.0,0.223,412.0,0.065,674.0,0.106,2022.0,HOU,1506.0,5968.0,0.252,2540.0,0.381,2468.0,0.37,801.0,0.12,1272.0,5968.0,0.213,573.0,0.086,796.0,0.119,2023
30,2023-04-01,MIN,Sonny Gray,KC,Jordan Lyles,2,0,31,5,0.161,0,2,0,5,30,4,0.133,0,5,0,8,False,2022,2022.0,Sonny Gray,MIN,.615,3.31,7.45,8.80,2.71,0.83,3.08,1.13,0.639,9.0,0.224,2022.0,Jordan Lyles,BAL,.522,4.73,9.85,7.24,2.61,1.31,4.42,1.39,0.785,18.0,0.276,2022.0,MIN,1359.0,5501.0,0.247,2198.0,0.358,2399.0,0.39,703.0,0.114,1363.0,5501.0,0.248,523.0,0.085,668.0,0.109,2022.0,KC,1039.0,4340.0,0.239,1652.0,0.345,1889.0,0.395,508.0,0.106,1104.0,4340.0,0.254,344.0,0.072,489.0,0.102,2023
31,2023-04-01,SF,Alex Cobb,NYY,Clarke Schmidt,7,5,39,12,0.308,2,3,0,10,37,10,0.27,0,3,0,8,False,2022,2022.0,Alex Cobb,SF,.467,4.33,9.14,9.08,2.59,0.54,3.73,1.30,0.665,13.0,0.262,2022.0,Clarke Schmidt,NYY,.500,3.59,7.18,8.74,3.59,0.78,3.12,1.20,0.648,3.0,0.222,2022.0,SF,1206.0,5149.0,0.234,2007.0,0.344,2219.0,0.38,678.0,0.116,1390.0,5149.0,0.27,543.0,0.093,639.0,0.109,2022.0,NYY,1423.0,5686.0,0.25,2434.0,0.377,2461.0,0.381,841.0,0.13,1362.0,5686.0,0.24,629.0,0.097,792.0,0.123,2023
32,2023-04-01,LAA,Patrick Sandoval,OAK,Shintaro Fujinami,13,1,36,11,0.306,0,6,0,4,30,5,0.167,0,3,0,6,False,2022,2022.0,Patrick Sandoval,LAA,.400,3.39,8.41,9.14,3.63,0.48,2.91,1.34,0.655,14.0,0.246,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,2022.0,LAA,1252.0,5401.0,0.232,2087.0,0.351,2184.0,0.367,621.0,0.104,1516.0,5401.0,0.281,450.0,0.076,583.0,0.098,2022.0,OAK,1061.0,5000.0,0.212,1689.0,0.305,1975.0,0.357,524.0,0.095,1327.0,5000.0,0.265,413.0,0.075,503.0,0.091,2023
